LSOA Code,LSOA Name,LA Code (2019 boundaries),LA name (2019 boundaries),LA Code (2020 boundaries),LA name (2020 boundaries),All Ages,0-15,16-29,30-44,45-64,65
E01018845,Cornwall 048A,E06000052,Cornwall,E06000052,Cornwall,"1,755",349,211,247,521,427
E01018846,Cornwall 048B,E06000052,Cornwall,E06000052,Cornwall,"1,400",198,139,207,432,424
E01018847,Cornwall 032D,E06000052,Cornwall,E06000052,Cornwall,"1,742",354,234,300,551,303
E01018848,Cornwall 048C,E06000052,Cornwall,E06000052,Cornwall,"1,715",278,229,226,540,442
E01018849,Cornwall 048D,E06000052,Cornwall,E06000052,Cornwall,"1,766",185,165,197,532,687
E01018850,Cornwall 048E,E06000052,Cornwall,E06000052,Cornwall,"1,373",169,158,165,429,452
E01018851,Cornwall 040C,E06000052,Cornwall,E06000052,Cornwall,"1,350",207,159,226,374,384
E01018852,Cornwall 040D,E06000052,Cornwall,E06000052,Cornwall,"2,941",633,324,522,790,672
E01018853,Cornwall 042C,E06000052,Cornwall,E06000052,Cornwall,"2,745",553,435,479,757,521
E01018854,Cornwall 042D,E06000052,Cornwall,E06000052,Cornwall,"1,450",288,265,236,388,273
E01018855,Cornwall 043C,E06000052,Cornwall,E06000052,Cornwall,"3,625",789,767,828,796,445
E01018856,Cornwall 043D,E06000052,Cornwall,E06000052,Cornwall,"1,330",184,228,209,415,294
E01018857,Cornwall 043E,E06000052,Cornwall,E06000052,Cornwall,"1,273",269,151,214,332,307
E01018858,Cornwall 043F,E06000052,Cornwall,E06000052,Cornwall,"1,423",190,159,160,410,504
E01018859,Cornwall 064E,E06000052,Cornwall,E06000052,Cornwall,"1,793",210,340,241,462,540
E01018860,Cornwall 062E,E06000052,Cornwall,E06000052,Cornwall,"1,932",357,371,278,487,439
E01018861,Cornwall 072A,E06000052,Cornwall,E06000052,Cornwall,"1,565",274,141,218,489,443
E01018862,Cornwall 072B,E06000052,Cornwall,E06000052,Cornwall,"1,398",143,119,165,438,533
E01018863,Cornwall 059A,E06000052,Cornwall,E06000052,Cornwall,"1,722",303,237,283,532,367
E01018864,Cornwall 059B,E06000052,Cornwall,E06000052,Cornwall,"1,858",330,227,291,595,415
E01018865,Cornwall 052A,E06000052,Cornwall,E06000052,Cornwall,"2,000",367,363,393,494,383
E01018866,Cornwall 052B,E06000052,Cornwall,E06000052,Cornwall,"2,018",414,289,347,473,495
E01018867,Cornwall 052C,E06000052,Cornwall,E06000052,Cornwall,"2,760",689,552,533,578,408
E01018868,Cornwall 052D,E06000052,Cornwall,E06000052,Cornwall,"1,793",385,304,341,403,360
E01018869,Cornwall 055A,E06000052,Cornwall,E06000052,Cornwall,"1,742",387,245,251,489,370
E01018870,Cornwall 055B,E06000052,Cornwall,E06000052,Cornwall,"1,287",342,271,221,315,138
E01018871,Cornwall 055C,E06000052,Cornwall,E06000052,Cornwall,"1,559",269,180,258,463,389
E01018872,Cornwall 055D,E06000052,Cornwall,E06000052,Cornwall,"1,533",204,268,309,429,323
E01018873,Cornwall 055E,E06000052,Cornwall,E06000052,Cornwall,"1,229",239,170,197,353,270
E01018874,Cornwall 053A,E06000052,Cornwall,E06000052,Cornwall,"1,240",190,147,189,332,382
E01018875,Cornwall 053B,E06000052,Cornwall,E06000052,Cornwall,"1,313",235,174,184,350,370
E01018876,Cornwall 053C,E06000052,Cornwall,E06000052,Cornwall,"1,327",231,156,193,411,336
E01018877,Cornwall 053D,E06000052,Cornwall,E06000052,Cornwall,"1,464",194,177,179,424,490
E01018878,Cornwall 053E,E06000052,Cornwall,E06000052,Cornwall,"1,626",331,273,289,393,340
E01018879,Cornwall 066A,E06000052,Cornwall,E06000052,Cornwall,"1,961",254,176,263,559,709
E01018880,Cornwall 066B,E06000052,Cornwall,E06000052,Cornwall,"2,318",396,228,336,675,683
E01018881,Cornwall 073A,E06000052,Cornwall,E06000052,Cornwall,"2,061",331,214,235,621,660
E01018882,Cornwall 071A,E06000052,Cornwall,E06000052,Cornwall,"1,444",226,194,237,439,348
E01018883,Cornwall 071B,E06000052,Cornwall,E06000052,Cornwall,"1,695",314,211,253,557,360
E01018884,Cornwall 071C,E06000052,Cornwall,E06000052,Cornwall,"1,642",308,230,259,464,381
E01018885,Cornwall 071D,E06000052,Cornwall,E06000052,Cornwall,"1,498",258,224,259,414,343
E01018886,Cornwall 071E,E06000052,Cornwall,E06000052,Cornwall,"1,745",487,281,391,363,223
E01018887,Cornwall 071F,E06000052,Cornwall,E06000052,Cornwall,"1,710",420,318,354,405,213
E01018888,Cornwall 071G,E06000052,Cornwall,E06000052,Cornwall,"2,427",578,349,492,526,482
E01018889,Cornwall 045A,E06000052,Cornwall,E06000052,Cornwall,"1,323",223,160,185,422,333
E01018890,Cornwall 045B,E06000052,Cornwall,E06000052,Cornwall,"1,554",238,191,252,434,439
E01018891,Cornwall 045C,E06000052,Cornwall,E06000052,Cornwall,"1,268",192,149,211,374,342
E01018892,Cornwall 045D,E06000052,Cornwall,E06000052,Cornwall,"1,591",310,176,269,479,357
E01018893,Cornwall 045E,E06000052,Cornwall,E06000052,Cornwall,"1,385",210,157,185,449,384
E01018894,Cornwall 051A,E06000052,Cornwall,E06000052,Cornwall,"2,026",420,282,357,552,415
E01018895,Cornwall 051B,E06000052,Cornwall,E06000052,Cornwall,"1,910",387,272,381,497,373
E01018896,Cornwall 051C,E06000052,Cornwall,E06000052,Cornwall,"1,394",217,168,206,436,367
E01018897,Cornwall 051D,E06000052,Cornwall,E06000052,Cornwall,"2,037",453,379,411,513,281
E01018898,Cornwall 051E,E06000052,Cornwall,E06000052,Cornwall,"1,306",288,199,258,336,225
E01018899,Cornwall 066C,E06000052,Cornwall,E06000052,Cornwall,"3,717",328,"2,247",313,450,379
E01018900,Cornwall 066D,E06000052,Cornwall,E06000052,Cornwall,"1,656",249,204,254,493,456
E01018901,Cornwall 066E,E06000052,Cornwall,E06000052,Cornwall,"1,842",311,325,279,447,480
E01018902,Cornwall 073B,E06000052,Cornwall,E06000052,Cornwall,"1,198",166,145,156,401,330
E01018903,Cornwall 073C,E06000052,Cornwall,E06000052,Cornwall,"2,039",202,774,373,360,330
E01018904,Cornwall 073D,E06000052,Cornwall,E06000052,Cornwall,"2,250",388,218,301,604,739
E01018905,Cornwall 072C,E06000052,Cornwall,E06000052,Cornwall,"1,508",242,204,209,488,365
E01018906,Cornwall 072D,E06000052,Cornwall,E06000052,Cornwall,"1,180",139,166,162,335,378
E01018907,Cornwall 072E,E06000052,Cornwall,E06000052,Cornwall,"1,280",211,167,155,379,368
E01018908,Cornwall 046A,E06000052,Cornwall,E06000052,Cornwall,"1,910",329,256,284,542,499
E01018909,Cornwall 046B,E06000052,Cornwall,E06000052,Cornwall,"1,614",304,236,318,464,292
E01018910,Cornwall 046C,E06000052,Cornwall,E06000052,Cornwall,"2,145",581,365,410,518,271
E01018911,Cornwall 046D,E06000052,Cornwall,E06000052,Cornwall,"1,752",246,281,284,481,460
E01018912,Cornwall 049A,E06000052,Cornwall,E06000052,Cornwall,"1,760",327,206,296,472,459
E01018913,Cornwall 049B,E06000052,Cornwall,E06000052,Cornwall,"1,932",352,324,393,542,321
E01018914,Cornwall 049C,E06000052,Cornwall,E06000052,Cornwall,"2,086",378,307,376,590,435
